Data for FINDTHRD

Received 03/29/99 from Andy Pugh of BodgeSoc Industries (Sheffield, UK)
Email =  a.c.pugh@sheffield.ac.uk (andy the pugh)

ADM = Admiralty
ASME = ASME Thread
BA = British association
Brass = Brass thread
BSF = British Standard Fine
BSP = British Standard Pipe Thread
CEI = Cycle Engineers Institute 
GAS = Gas (Brass Pipe) Thread
HOLTZ= Holtzapfels Threads
LOEW = Loewenhertz Threads 
M = ISO Metric
PEND = Watch Pendant Thread
PROG = Progress Thread
SPARK = Spark Plug Threads
THURY = Swiss Screw Thread
UNF/UNC = Unified National Fine/Coarse
UNEF = Unified National Extra Fine
WALTH = Waltham Thread
Whit = Whitworth
WINS = Whitworth Instrument
WPipe = Whitworth Pipe Thread

anything above the line below is ignored by the program
STARTOFDATA



;Thread      Dia/    Dia/    Pitch/  Pitch/  Core    Core   Depth/ Depth/
3/4 BRASS   0.7500  19.050  26.0    0.977  0.7008  17.800  0.0246  0.625
3/4 BSF     0.7500  19.050  12.0    2.117  0.6432  16.337  0.0534  1.356
3/4 CEI     0.7500  19.050  26.0    0.977  0.7090  18.009  0.0205  0.521
3/4 CEI20   0.7500  19.050  20.0    1.270  0.6968  17.699  0.0266  0.676
3/4 UNC     0.7500  19.050  10.0    2.540  0.6273  15.933  0.0613  1.558
3/4 UNF     0.7500  19.050  16.0    1.588  0.6733  17.102  0.0625  1.588
3/4 WHIT    0.7500  19.050  10.0    2.540  0.6219  15.796  0.0640  1.626
C HOLTZ     0.7500  19.050  9.5     2.688               
3/4 GAS     0.7700  19.558  27.0    0.941               
M20 Coarse  0.7874  20.000  10.2    2.500  0.6666  16.933  0.0604  1.534
M20 Fine    0.7874  20.000  16.9    1.500  0.7150  18.160  0.0362  0.920
13/16 ADM   0.8125  20.638  14.0    1.814  0.7210  18.314  0.0457  1.162
1/2 BSP     0.8250  20.955  14.0    1.814  0.7340  18.644  0.0457  1.161
-10 THURY   0.8346  21.200  8.9     2.870               
1/2 WPIPE   0.8438  21.431  14.0    1.814  0.7548  19.171  0.0445  1.130
M22 Coarse  0.8661  22.000  10.2    2.500  0.7454  18.933  0.0604  1.534
7/8 ADM     0.8750  22.225  14.0    1.814  0.7835  19.902  0.0457  1.162
7/8 BRASS   0.8750  22.225  26.0    0.977  0.8258  20.975  0.0246  0.625
7/8 BSF     0.8750  22.225  11.0    2.309  0.7586  19.268  0.0582  1.478
7/8 UNC     0.8750  22.225  9.0     2.822  0.7387  18.763  0.0682  1.731
7/8 UNF     0.8750  22.225  14.0    1.814  0.7874  20.000  0.0438  1.113
7/8 WHIT    0.8750  22.225  9.0     2.822  0.7327  18.611  0.0711  1.806
7/8 SPARK   0.8750  22.225  18.0    1.411  0.8028  20.392  0.0361  0.917
B HOLTZ     0.8750  22.225  8.3     3.079              
7/8 GAS     0.8850  22.479  27.0    0.941               
5/8 BSP     0.9020  22.911  14.0    1.814  0.8110  20.599  0.0457  1.161
15/16 ADM   0.9375  23.813  14.0    1.814  0.8460  21.489  0.0457  1.162
5/8 WPIPE   0.9375  23.813  14.0    1.814  0.8485  21.552  0.0445  1.130
M24 Coarse  0.9449  24.000  8.5     3.000  0.8000  20.319  0.0725  1.840
M24 Fine    0.9449  24.000  12.7    2.000  0.8483  21.546  0.0483  1.226
-11 THURY   0.9492  24.110  8.0     3.190              
1 ADM       1.0000  25.400  12.0    2.117  0.8933  22.689  0.0534  1.355
1 BRASS     1.0000  25.400  26.0    0.977  0.9508  24.150  0.0246  0.625
1 BSF       1.0000  25.400  10.0    2.540  0.8720  22.149  0.0640  1.626
1 UNC       1.0000  25.400  8.0     3.175  0.8466  21.504  0.0767  1.948
1 UNF       1.0000  25.400  12.0    2.117  0.8978  22.804  0.0511  1.298
1 WHIT      1.0000  25.400  8.0     3.175  0.8399  21.333  0.0800  2.032
A HOLTZ     1.0000  25.400  6.6     3.860              
1 GAS       1.0060  25.552  27.0    0.941               
1 1/8 BRASS 1.0400  26.416  26.0    0.977  0.9908  25.166  0.0246  0.625
3/4 BSP     1.0410  26.441  14.0    1.814  0.9500  24.130  0.0457  1.161
1 1/16 ADM  1.0625  26.988  12.0    2.117  0.9558  24.277  0.0534  1.355
3/4 WPIPE   1.0625  26.988  14.0    1.814  0.9735  24.727  0.0445  1.130
M27 Coarse  1.0630  27.000  8.5     3.000  0.9181  23.319  0.0725  1.840
-12 THURY   1.0787  27.400  7.2     3.540              
1 1/8       1.1250  28.575  7.0     3.629  0.9420  23.927  0.0915  2.324
1 1/8 ADM   1.1250  28.575  12.0    2.117  1.0183  25.864  0.0534  1.355
1 1/8 BSF   1.1250  28.575  9.0     2.822  0.9828  24.963  0.0711  1.806
1 1/8 UNC   1.1250  28.575  7.0     3.629  0.9497  24.122  0.0876  2.226
1 1/8 UNF   1.1250  28.575  12.0    2.117  1.0228  25.979  0.0511  1.298
M30 Coarse  1.1811  30.000  7.3     3.500  1.0120  25.706  0.0845  2.147
M30 Fine    1.1811  30.000  12.7    2.000  1.0845  27.546  0.0483  1.226
1 3/16 ADM  1.1875  30.163  12.0    2.117  1.0808  27.452  0.0534  1.355
7/8 BSP     1.1890  30.201  14.0    1.814  1.0980  27.889  0.0457  1.161
-13 THURY   1.2048  31.000  6.5     3.930              
7/8 WPIPE   1.2188  30.956  14.0    1.814  1.1298  28.696  0.0445  1.130
1 1/4 BRASS 1.2500  31.750  26.0    0.977  1.2008  30.500  0.0246  0.625
1 1/4 BSF   1.2500  31.750  9.0     2.822  1.1078  28.138  0.0711  1.806
1 1/4 UNC   1.2500  31.750  7.0     3.629  1.0747  27.297  0.0876  2.226
1 1/4 UNF   1.2500  31.750  12.0    2.117  1.1478  29.154  0.0511  1.298
1 1/4 WHIT  1.2500  31.750  7.0     3.629  1.0670  27.102  0.0915  2.324
1 1/4 ADM   1.2500  31.750  12.0    2.117  1.1433  29.039  0.0534  1.355
M33 Coarse  1.2992  33.000  7.3     3.500  1.1302  28.706  0.0845  2.147
1 BSP       1.3090  33.249  11.0    2.309  1.1930  30.302  0.0582  1.478
1 5/16 ADM  1.3125  33.338  12.0    2.117  1.2058  30.627  0.0534  1.355
1 WPIPE     1.3438  34.131  11.0    2.309  1.2278  31.185  0.0580  1.473
1 3/8 ADM   1.3750  34.925  12.0    2.117  1.2683  32.214  0.0534  1.355
1 3/8 BSF   1.3750  34.925  8.0     3.175  1.2150  30.861  0.0800  2.032
1 3/8 UNC   1.3750  34.925  6.0     4.233  1.1705  29.731  0.1022  2.597
1 3/8 UNF   1.3750  34.925  12.0    2.117  1.2728  32.329  0.0511  1.298
-14 THURY   1.3858  35.200  5.8     4.370              
M36 Coarse  1.4173  36.000  6.4     4.000  1.2241  31.092  0.0966  2.454
M36 Fine    1.4173  36.000  8.5     3.000  1.2724  32.319  0.0725  1.841
1 7/16 ADM  1.4375  36.513  12.0    2.117  1.3308  33.802  0.0534  1.355
1 1/2 ADM   1.5000  38.100  12.0    2.117  1.3933  35.389  0.0534  1.355
1 1/2 BRASS 1.5000  38.100  26.0    0.977  1.4508  36.850  0.0246  0.625
1 1/2 BSF   1.5000  38.100  8.0     3.175  1.3400  34.036  0.0800  2.032
1 1/2 UNC   1.5000  38.100  6.0     4.233  1.2955  32.906  0.1022  2.597
1 1/2 UNF   1.5000  38.100  12.0    2.117  1.3978  35.504  0.0511  1.298
1 1/2 WHIT  1.5000  38.100  6.0     4.233  1.2866  32.680  0.1067  2.710
M39 Coarse  1.5354  39.000  6.4     4.000  1.3422  34.092  0.0966  2.454
-15 THURY   1.5748  40.000  5.2     4.860              
1 5/8 BSF   1.6250  41.275  8.0     3.175  1.4649  37.208  0.0800  2.032
M42 Coarse  1.6535  42.000  5.6     4.500  1.4362  36.479  0.1087  2.761
M42 Fine    1.6535  42.000  8.5     3.000  1.5065  38.265  0.0725  1.841
1 1/4 WPIPE 1.6875  42.863  11.0    2.309  1.5715  39.916  0.0580  1.473
1 3/4       1.7500  44.450  5.0     5.080  1.4939  37.945  0.1281  3.254
1 3/4 BSF   1.7500  44.450  7.0     3.629  1.5670  39.802  0.0915  2.324
1 3/4 UNC   1.7500  44.450  5.0     5.080  1.5046  38.217  0.1227  3.116
M45 Coarse  1.7717  45.000  5.6     4.500  1.5543  39.479  0.1087  2.761
-16 THURY   1.7874  45.400  4.7     5.400              
M48 Coarse  1.8898  48.000  5.1     5.000  1.6482  41.865  0.1208  3.067
M48 Fine    1.8898  48.000  8.5     3.000  1.7433  44.280  0.0725  1.841
1 1/2 WPIPE 1.9063  48.419  11.0    2.309  1.7903  45.472  0.0580  1.473
2 BSF       2.0000  50.800  7.0     3.629  1.8170  46.152  0.0915  2.324
2 UNC       2.0000  50.800  4.5     5.644  1.7274  43.876  0.1363  3.463
2 WHIT      2.0000  50.800  4.5     5.644  1.7154  43.571  0.1423  3.614
-17 THURY   2.0276  51.500  4.2     6.000              
M52 Coarse  2.0472  52.000  5.1     5.000  1.8057  45.865  0.1208  3.067
1 3/4 WPIPE 2.1563  54.769  11.0    2.309  2.0403  51.822  0.0580  1.473
M56 Coarse  2.2047  56.000  4.6     5.500  1.9391  49.252  0.1328  3.374
M56 Fine    2.2047  56.000  6.4     4.000  2.0115  51.093  0.0967  2.455
2 1/4 BSF   2.2500  57.150  6.0     4.233  2.0366  51.730  0.1067  2.710
-18 THURY   2.2992  58.400  3.8     6.660              
M60 Coarse  2.3622  60.000  4.6     5.500  2.0965  53.252  0.1328  3.374
2 WPIPE     2.3750  60.325  11.0    2.309  2.2590  57.379  0.0580  1.473
2 1/2 BSF   2.5000  63.500  6.0     4.233  2.2866  58.080  0.1067  2.710
M64 Coarse  2.5197  64.000  4.2     6.000  2.2299  56.639  0.1449  3.681
M64 Fine    2.5197  64.000  6.4     4.000  2.3254  59.065  0.0967  2.455
-19 THURY   2.6102  66.300  3.4     7.400              
2 1/4 WPIPE 2.6250  66.675  11.0    2.309  2.5090  63.729  0.0580  1.473
M68 Coarse  2.6772  68.000  4.2     6.000  2.3874  60.639  0.1449  3.681
2 3/4 BSF   2.7500  69.850  6.0     4.233  2.5366  64.430  0.1067  2.710
-20 THURY   2.9606  75.200  3.1     8.230              
2 1/2 WPIPE 3.0000  76.200  11.0    2.309  2.8840  73.254  0.0580  1.473
3 BSF       3.0000  76.200  5.0     5.080  2.7439  69.695  0.1280  3.251
2 3/4 WPIPE 3.2500  82.550  11.0    2.309  3.1340  79.604  0.0580  1.473
3 WPIPE     3.5000  88.900  11.0    2.309  3.3840  85.954  0.0580  1.473
3 1/4 WPIPE 3.7500  95.250  11.0    2.309  3.6340  92.304  0.0580  1.473
5 1/2 WPIPE 4.0000  101.600 11.0    2.309  3.8840  98.654  0.0580  1.473
3 3/4 WPIPE 4.2500  107.950 11.0    2.309  4.1340  105.004 0.0580  1.473
4 WPIPE     4.5000  114.300 11.0    2.309  4.3840  111.354 0.0580  1.473
4 1/2 WPIPE 5.0000  127.000 11.0    2.309  4.8840  124.054 0.0580  1.473
5 WPIPE     5.5000  139.700 11.0    2.309  5.3840  136.754 0.0580  1.473
5 1/2 WPIPE 6.0000  152.400 11.0    2.309  5.8840  149.454 0.0580  1.473
6 WPIPE     6.5000  165.100 11.0    2.309  6.3840  162.154 0.0580  1.473
1/4 UNEF    0.2500  6.350   32.0   0.7940 
5/16 UNEF   0.3125  7.938   32.0   0.7940 
3/8 UNEF    0.3750  9.525   32.0   0.7940 
7/16 UNEF   0.4375  11.113   32.0   0.7940 
1/2 UNEF    0.5000  12.700   28.0   0.9071
9/16 UNEF   0.5625  14.288   24.0   1.0583
5/8 UNEF    0.625   15.875   24.0   1.0583
11/16 UNEF  0.6875  17.4625  24.0   1.0583
3/4 UNEF    0.75    19.05    20.0   1.27
7/8 UNEF    0.875   22.225   20.0   1.27
1 UNEF      1.000   25.4     20.0   1.27




;above the line below requires a semicolon
ENDOFDATA
this is below the line and has no semicolon

